COMMAND     PID  USER   FD      TYPE             DEVICE   SIZE/OFF                NODE NAME
BetterDis 31936 kadir  cwd       DIR               1,15        704                   2 /
BetterDis 31936 kadir  txt       REG               1,15   28764512            76693037 /Applications/BetterDisplay.app/Contents/MacOS/BetterDisplay
BetterDis 31936 kadir  txt       REG               1,15     101376            76693167 /Applications/BetterDisplay.app/Contents/Frameworks/libbd.dylib
BetterDis 31936 kadir  txt       REG               1,15      73108            76706410 /Library/Preferences/Logging/.plist-cache.Lrj3gODo
BetterDis 31936 kadir  txt       REG               1,15        171 1152921500312103444 /System/Library/CoreServices/SystemVersion.bundle/tr.lproj/SystemVersion.strings
BetterDis 31936 kadir  txt       REG               1,15     864560            76693331 /Applications/BetterDisplay.app/Contents/Frameworks/Sparkle.framework/Versions/B/Sparkle
BetterDis 31936 kadir  txt       REG               1,15     234944            63332877 /private/var/db/timezone/tz/2025c.1.0/icutz/icutz44l.dat
BetterDis 31936 kadir  txt       REG               1,15     194311            76671044 /private/var/db/analyticsd/events.allowlist
BetterDis 31936 kadir  txt       REG               1,15       6918 1152921500312144319 /System/Library/Frameworks/AppKit.framework/Versions/C/Resources/InputManager.loctable
BetterDis 31936 kadir  txt       REG               1,15       4978 1152921500312144293 /System/Library/Frameworks/AppKit.framework/Versions/C/Resources/DictationManager.loctable
BetterDis 31936 kadir  txt       REG               1,15    1815104            76693439 /Applications/BetterDisplay.app/Contents/Frameworks/Paddle.framework/Versions/A/Paddle
BetterDis 31936 kadir  txt       REG               1,15     137016 1152921500312103066 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/SystemAppearance.car
BetterDis 31936 kadir  txt       REG               1,15     139252            74632472 /System/Library/Caches/com.apple.IntlDataCache.le.kbdx
BetterDis 31936 kadir  txt       REG               1,15     250306 1152921500312212600 /System/Library/Keyboard Layouts/AppleKeyboardLayouts.bundle/Contents/Resources/InfoPlist.loctable
BetterDis 31936 kadir  txt       REG               1,15     177510 1152921500312144325 /System/Library/Frameworks/AppKit.framework/Versions/C/Resources/MenuCommands.loctable
BetterDis 31936 kadir  txt       REG               1,15     248480 1152921500312573295 /usr/lib/libobjc-trampolines.dylib
BetterDis 31936 kadir  txt       REG               1,15      60821 1152921500312144241 /System/Library/Frameworks/AppKit.framework/Versions/C/Resources/Common.loctable
BetterDis 31936 kadir  txt       REG               1,15      32768            76533205 /Users/kadir/Library/Caches/pro.betterdisplay.BetterDisplay/Cache.db-shm
BetterDis 31936 kadir  txt       REG               1,15    2374000 1152921500312573277 /usr/lib/dyld
BetterDis 31936 kadir  txt       REG               1,15      32768            20660150 /Users/kadir/Library/HTTPStorages/pro.betterdisplay.BetterDisplay/httpstorages.sqlite-shm
BetterDis 31936 kadir  txt       REG               1,15   35444880 1152921500312583778 /usr/share/icu/icudt78l.dat
BetterDis 31936 kadir  txt       REG               1,15   13221888            76698330 /private/var/folders/j4/7k54blqs0ylg5m731hfd0vvw0000gn/0/com.apple.LaunchServices.dv/com.apple.LaunchServices-20971544-v2.csstore
BetterDis 31936 kadir  txt       REG               1,15    7912984 1152921500312103027 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/Aqua.car
BetterDis 31936 kadir  txt       REG               1,15    2976648 1152921500312103055 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/FauxVibrantLight.car
BetterDis 31936 kadir  txt       REG               1,15    6223976 1152921500312103080 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/VibrantLight.car
BetterDis 31936 kadir  txt       REG               1,15    1561920 1152921500312212598 /System/Library/Keyboard Layouts/AppleKeyboardLayouts.bundle/Contents/Resources/AppleKeyboardLayouts-L.dat
BetterDis 31936 kadir  txt       REG               1,15  160168520 1152921500312351601 /System/Library/PrivateFrameworks/SFSymbols.framework/Versions/A/Resources/CoreGlyphs.bundle/Contents/Resources/Assets.car
BetterDis 31936 kadir  txt       REG               1,15    7909644 1152921500312142364 /System/Library/Fonts/SFNS.ttf
BetterDis 31936 kadir  txt       REG               1,15    2369592 1152921500312142288 /System/Library/Fonts/Helvetica.ttc
BetterDis 31936 kadir  txt       REG               1,15    2302744            76693130 /Applications/BetterDisplay.app/Contents/Resources/Assets.car
BetterDis 31936 kadir  txt       REG               1,15     221776 1152921500312144096 /System/Library/Frameworks/AppKit.framework/Versions/C/Resources/AccessibilityImageDescriptions.loctable
BetterDis 31936 kadir  txt       REG               1,15     697969 1152921500312148781 /System/Library/Frameworks/CFNetwork.framework/Versions/A/Resources/DafsaData.bin
BetterDis 31936 kadir  txt       REG               1,15       9343 1152921500312144427 /System/Library/Frameworks/AppKit.framework/Versions/C/Resources/Placeholders.loctable
BetterDis 31936 kadir  txt       REG               1,15     283215 1152921500312148785 /System/Library/Frameworks/CFNetwork.framework/Versions/A/Resources/Localizable.loctable
BetterDis 31936 kadir  txt       REG               1,15      21880 1152921500312282184 /System/Library/PrivateFrameworks/CoreUI.framework/Versions/A/Resources/DesignLibrary-macOS.bundle/Contents/Resources/macOSRepositories/LightFauxVibrantStandard.car
BetterDis 31936 kadir  txt       REG               1,15      29800 1152921500312282188 /System/Library/PrivateFrameworks/CoreUI.framework/Versions/A/Resources/DesignLibrary-macOS.bundle/Contents/Resources/macOSRepositories/LightStandard.car
BetterDis 31936 kadir  txt       REG               1,15    7795064 1152921500312103039 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/DarkAqua.car
BetterDis 31936 kadir  txt       REG               1,15      73240 1152921500312103051 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/FauxVibrantDark.car
BetterDis 31936 kadir  txt       REG               1,15    2181128 1152921500312103061 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/Graphite.car
BetterDis 31936 kadir  txt       REG               1,15   25218224 1152921500312129889 /System/Library/Extensions/AGXMetalG16G_B0.bundle/Contents/MacOS/AGXMetalG16G_B0
BetterDis 31936 kadir  txt       REG               1,15   32308616 1152921500312129896 /System/Library/Extensions/AGXMetalG16G_B0.bundle/Contents/Resources/ds.g16g
BetterDis 31936 kadir  txt       REG               1,15    6742984 1152921500312103070 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/VibrantDark.car
BetterDis 31936 kadir  txt       REG               1,15    3364296 1152921500312103033 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/Assets.car
BetterDis 31936 kadir  txt       REG               1,15     520568 1152921500312103057 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/FauxVibrantLightGraphite.car
BetterDis 31936 kadir  txt       REG               1,15    1538440 1152921500312103084 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/VibrantLightGraphite.car
BetterDis 31936 kadir  txt       REG               1,15   14947744 1152921500312350425 /System/Library/PrivateFrameworks/RenderBox.framework/Versions/A/Resources/archive.metallib
BetterDis 31936 kadir  txt       REG               1,15     131072            76533214 /private/var/folders/j4/7k54blqs0ylg5m731hfd0vvw0000gn/C/pro.betterdisplay.BetterDisplay/com.apple.metal/16777235_403/functions.data
BetterDis 31936 kadir  txt       REG               1,15      98304            76533217 /private/var/folders/j4/7k54blqs0ylg5m731hfd0vvw0000gn/C/pro.betterdisplay.BetterDisplay/com.apple.metal/32024/libraries.data
BetterDis 31936 kadir  txt       REG               1,15      35766 1152921500312204251 /System/Library/Frameworks/SwiftUI.framework/Versions/A/Resources/Localizable.loctable
BetterDis 31936 kadir  txt       REG               1,15      44613 1152921500312154095 /System/Library/Frameworks/CoreText.framework/Versions/A/Resources/FontNames.loctable
BetterDis 31936 kadir  txt       REG               1,14 1706196992             1084524 /System/Volumes/Preboot/Cryptexes/OS/System/Library/dyld/dyld_shared_cache_arm64e.01
BetterDis 31936 kadir  txt       REG               1,14 1824473088             1084532 /System/Volumes/Preboot/Cryptexes/OS/System/Library/dyld/dyld_shared_cache_arm64e.05
BetterDis 31936 kadir    0r      CHR                3,2        0t0                 336 /dev/null
BetterDis 31936 kadir    1u      CHR                3,2        0t0                 336 /dev/null
BetterDis 31936 kadir    2u      CHR                3,2        0t0                 336 /dev/null
BetterDis 31936 kadir    3u      REG               1,15      49152            76533201 /Users/kadir/Library/Caches/pro.betterdisplay.BetterDisplay/Cache.db
BetterDis 31936 kadir    4u      REG               1,15          0            76533204 /Users/kadir/Library/Caches/pro.betterdisplay.BetterDisplay/Cache.db-wal
BetterDis 31936 kadir    5u      REG               1,15      32768            76533205 /Users/kadir/Library/Caches/pro.betterdisplay.BetterDisplay/Cache.db-shm
BetterDis 31936 kadir    6u      REG               1,15       4096            20660146 /Users/kadir/Library/HTTPStorages/pro.betterdisplay.BetterDisplay/httpstorages.sqlite
BetterDis 31936 kadir    7u      REG               1,15      61832            20660149 /Users/kadir/Library/HTTPStorages/pro.betterdisplay.BetterDisplay/httpstorages.sqlite-wal
